freezone,activity_code,activity_name,industry_group,keywords,approval_required,approval_authority,is_active
ANCFZ,4520023,Cars Multi-specialization Maintenance Workshop,Automobile,"cars multi-specialization maintenance workshop, automobile, services, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,4520003,Vehicles Mechanics Repair,Automobile,"vehicles mechanics repair, automobile, services, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,4520005,Cars Electricity Repair .,Automobile,"cars electricity repair ., automobile, services, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,4520021,Cars Air-conditioners Repair,Automobile,"cars air-conditioners repair, automobile, services, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,4520007,Tyres Changing and Repairing,Automobile,"tyres changing and repairing, automobile, services, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,4520001,Vehicles Denting,Automobile,"vehicles denting, automobile, services, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,4520017,Car Polishing and Cleaning,Automobile,"car polishing and cleaning, automobile, services, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,4520010,Vehicles Oil Change,Automobile,"vehicles oil change, automobile, services, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,4520011,Cars Provision with Corrosion Resistant Materials,Automobile,"cars provision with corrosion resistant materials, automobile, services, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,4520013,Cars Exhaust Repair,Automobile,"cars exhaust repair, automobile, services, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,4520006,Vehicles Radiators Repairing and Cleaning,Automobile,"vehicles radiators repairing and cleaning, automobile, services, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,4520027,Refrigerated Trailers Repair & Maintenance,Automobile,"refrigerated trailers repair & maintenance, automobile, services, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,4520018,Vehicles Seats Upholstery,Automobile,"vehicles seats upholstery, automobile, services, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,7120009,"Vehicles, Equipments and Machinery Technical Testing",Automobile,"vehicles, equipments and machinery technical testing, automobile, services, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,7710002,Trucks Rental,Automobile,"trucks rental, automobile, services, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,2920905,Automobile Special Accessories Fitting,Automobile,"automobile special accessories fitting, automobile, services, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,4540103,Motorcycles Repairing,Automobile,"motorcycles repairing, automobile, services, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,4520028,Auto Phones Installation & Repair,Automobile,"auto phones installation & repair, automobile, services, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,9529004,Bicycles Repairing,Automobile,"bicycles repairing, automobile, services, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,7730020,Airplanes and Outfits Renting,Automobile,"airplanes and outfits renting, automobile, services, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,4923001,Goods Land Transportation,Automobile,"goods land transportation, automobile, services, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,7710007,Renting Vehicles for Specialized Purposes,Automobile,"renting vehicles for specialized purposes, automobile, services, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,9321010,Helicopter Rental,Automobile,"helicopter rental, automobile, services, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,7110927,Liquids Mechanics Engineering Consultancy,Automobile,"liquids mechanics engineering consultancy, automobile, services, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,7110928,Consultancy of Aviation Engineering,Automobile,"consultancy of aviation engineering, automobile, services, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,7710003,Buses Rental,Automobile,"buses rental, automobile, services, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,7110929,Mechanical Power Engineering Consultancy,Automobile,"mechanical power engineering consultancy, automobile, services, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,4922005,Special Cars Rentel with a Driver,Automobile,"special cars rentel with a driver, automobile, services, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,5221001,(without Repair) Towing and Transporting of Broken Down Cars,Automobile,"(without repair) towing and transporting of broken down cars, automobile, services, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,5229005,Vehicles Registration Services,Automobile,"vehicles registration services, automobile, services, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,6810003,Car Parking Leasing,Automobile,"car parking leasing, automobile, services, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,8299005,Valet Parking Services,Automobile,"valet parking services, automobile, services, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,7310011,Mobile Cars Advertisements,Automobile,"mobile cars advertisements, automobile, services, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,7710001,Cars Rental,Automobile,"cars rental, automobile, commercial, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,4661002,Wholesale of Grease and Lubricants Trading,Automobile,"wholesale of grease and lubricants trading, automobile, commercial, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,4510901,Passengers Used Cars Trading -Import & Export,Automobile,"passengers used cars trading -import & export, automobile, commercial, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,4659312,Heavy Equipment & Machinery Spare Parts Trading -Import & Export,Automobile,"heavy equipment & machinery spare parts trading -import & export, automobile, commercial, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,4530005,Cars Tyres and Outfit Trading -Import & Export,Automobile,"cars tyres and outfit trading -import & export, automobile, commercial, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,4530003,Cars Used Spare Parts Trading -Import & Export,Automobile,"cars used spare parts trading -import & export, automobile, commercial, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,4540102,Motorcycles Spare Parts and Outfit Trading -Import & Export,Automobile,"motorcycles spare parts and outfit trading -import & export, automobile, commercial, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,4773708,Aircraft Spare Parts & Components Trading Import & Export,Automobile,"aircraft spare parts & components trading import & export, automobile, commercial, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,3812001,Used Lubricants Collection Works,Automobile,"used lubricants collection works, automobile, commercial, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,4610008,Used Cars Trading Import & Export,Automobile,"used cars trading import & export, automobile, commercial, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,4659306,Wholesale of Airplanes Trading -Import & Export,Automobile,"wholesale of airplanes trading -import & export, automobile, commercial, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,4659941,Wholesale of Spare Parts Trading of Machines and Motors -Import & Export,Automobile,"wholesale of spare parts trading of machines and motors -import & export, automobile, commercial, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,4659308,Wholesale of Marine Equipment and Machinery Trading -Import & Export,Automobile,"wholesale of marine equipment and machinery trading -import & export, automobile, commercial, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,6520001,Reinsurance,Automobile,"reinsurance, automobile, commercial, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,4659312,Heavy Equipment & Machinery Spare Parts Trading Import & Export,Automobile,"heavy equipment & machinery spare parts trading import & export, automobile, commercial, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,4530002,Auto Spare Parts & Components Trading -Import & Export,Automobile,"auto spare parts & components trading -import & export, automobile, commercial, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,4530008,Cars Batteries Trading - Import & Export,Automobile,"cars batteries trading - import & export, automobile, commercial, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,4730002,Retai sale of Grease and Lubricants,Automobile,"retai sale of grease and lubricants, automobile, commercial, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,4530001,Cars New Spare Parts Trading -Import & Export,Automobile,"cars new spare parts trading -import & export, automobile, commercial, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,4659309,Wholesale of Spare Parts and Sections Trading of Airplanes -Import & Export,Automobile,"wholesale of spare parts and sections trading of airplanes -import & export, automobile, commercial, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,4510104,Specialized Electric Cars Trading,Automobile,"specialized electric cars trading, automobile, commercial, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,4510102,Buses and Trucks Trading - Import & Export,Automobile,"buses and trucks trading - import & export, automobile, commercial, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,4510101,New Passengers Vehicle Trading -Import & Export,Automobile,"new passengers vehicle trading -import & export, automobile, commercial, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,4510902,Used Buses and Trucks Trading -Import & Export,Automobile,"used buses and trucks trading -import & export, automobile, commercial, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,4530011,Cars Additional Parts Trading -Import & Export,Automobile,"cars additional parts trading -import & export, automobile, commercial, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,501009,Used Cars Trading,Automobile,"used cars trading, automobile, commercial, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,4510106,New Containers and Trailers Trading -Import & Export,Automobile,"new containers and trailers trading -import & export, automobile, commercial, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,3830101,Aircraft Scrap & Used Spare Parts Trading,Automobile,"aircraft scrap & used spare parts trading, automobile, commercial, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,4510901,Used Luxury Automobiles Trading,Automobile,"used luxury automobiles trading, automobile, commercial, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,4510101,New Motor Vehicles Trading Import & Export,Automobile,"new motor vehicles trading import & export, automobile, commercial, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,3830908,Used Tires Waste Trading,Automobile,"used tires waste trading, automobile, commercial, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,4759015,Retail sale of Selling video games devices,Automobile,"retail sale of selling video games devices, automobile, commercial, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,4510104,Electrical Carriages Trading for Specialized Purposes,Automobile,"electrical carriages trading for specialized purposes, automobile, commercial, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,4510103,Specialized Vehicles Trading- Import & Export,Automobile,"specialized vehicles trading- import & export, automobile, commercial, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,4690011,Wholesale of tools and military supplies Trading,Automobile,"wholesale of tools and military supplies trading, automobile, commercial, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,4773602,Industrial Plant Equipment & Spare Parts Trading -Import and Export,Automobile,"industrial plant equipment & spare parts trading -import and export, automobile, commercial, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,4510901,Used Automobile Trading for Export -Only,Automobile,"used automobile trading for export -only, automobile, commercial, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,4610013,"Trading Cards Issuance, Sale and Substitution -Import & Export",Banking & Insurance,"trading cards issuance, sale and substitution -import & export, banking & insurance, commercial, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,6419001,Commercial Bank,Banking & Insurance,"commercial bank, banking & insurance, commercial, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,6419003,Credit and Financing Bank,Banking & Insurance,"credit and financing bank, banking & insurance, commercial, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,6419004,Investment Bank,Banking & Insurance,"investment bank, banking & insurance, commercial, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,6419005,Savings Bank,Banking & Insurance,"savings bank, banking & insurance, commercial, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,6612005,Currencies Exchange (Exchange Offices),Banking & Insurance,"currencies exchange (exchange offices), banking & insurance, commercial, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,6499001,"Commercial Enterprises Investment, Institution and Management",Banking & Insurance,"commercial enterprises investment, institution and management, banking & insurance, commercial, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,6612007,Perform the conversion of local currency and foreign exchange,Banking & Insurance,"perform the conversion of local currency and foreign exchange, banking & insurance, commercial, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,672004,Insurance Consultancies,Banking & Insurance,"insurance consultancies, banking & insurance, services, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,6511103,Accidents and Civil Responsibility Insurance,Banking & Insurance,"accidents and civil responsibility insurance, banking & insurance, services, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,6512001,Fire Insurance,Banking & Insurance,"fire insurance, banking & insurance, services, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,6512004,"Land, Marine and Air Transportation Dangers Insurance",Banking & Insurance,"land, marine and air transportation dangers insurance, banking & insurance, services, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,6511201,Saving and Money Formation Insurance,Banking & Insurance,"saving and money formation insurance, banking & insurance, services, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,6511102,Health insurance,Banking & Insurance,"health insurance, banking & insurance, services, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,6619001,Financial Investment Consultancy,Banking & Insurance,"financial investment consultancy, banking & insurance, services, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,6612003,Currencies Purchase and Sale and Intermediation in Cash Market Operations Broker,Banking & Insurance,"currencies purchase and sale and intermediation in cash market operations broker, banking & insurance, services, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
