freezone,category,package_name,duration,workspace,original_price,package_price,offer_price,currency,includes_visa,source,is_active
ANCFZ,Renewal Packages,Renewal All Inclusive Installment Available - 0 Visas,1 Year,Renewal; installment available; no Tabby payment through SmartSetupUAE,,4888,4888,AED,0,ancfz_packages_d_pdf,true
ANCFZ,Renewal Packages,Renewal All Inclusive Installment Available - 1 Visa,1 Year,Renewal; installment available; no Tabby payment through SmartSetupUAE,,11000,11000,AED,1,ancfz_packages_d_pdf,true
ANCFZ,Renewal Packages,Renewal All Inclusive Installment Available - 2 Visas,1 Year,Renewal; installment available; no Tabby payment through SmartSetupUAE,,15500,15500,AED,2,ancfz_packages_d_pdf,true
ANCFZ,Renewal Packages,Renewal All Inclusive Installment Available - 3 Visas,1 Year,Renewal; installment available; no Tabby payment through SmartSetupUAE,,19500,19500,AED,3,ancfz_packages_d_pdf,true
ANCFZ,Renewal Packages,Renewal All Inclusive Installment Available - 4 Visas,1 Year,Renewal; installment available; no Tabby payment through SmartSetupUAE,,23500,23500,AED,4,ancfz_packages_d_pdf,true
ANCFZ,Renewal Packages,Renewal All Inclusive Installment Available - 5 Visas,1 Year,Renewal; installment available; no Tabby payment through SmartSetupUAE,,27500,27500,AED,5,ancfz_packages_d_pdf,true
ANCFZ,Renewal Packages,Renewal All Inclusive Installment Available - 6 Visas,1 Year,Renewal; installment available; no Tabby payment through SmartSetupUAE,,31500,31500,AED,6,ancfz_packages_d_pdf,true
ANCFZ,Renewal Packages,Renewal All Inclusive Installment Available - 7 Visas,1 Year,Renewal; installment available; no Tabby payment through SmartSetupUAE,,35500,35500,AED,7,ancfz_packages_d_pdf,true
ANCFZ,PAYG Packages,Pay As You Go - 0 Visas,1 Year,Secondary option; health insurance excluded; no Tabby payment through SmartSetupUAE,,4888,4888,AED,0,ancfz_payg_10v_pdf,true
ANCFZ,PAYG Packages,Pay As You Go - 1 Visa,1 Year,Secondary option; health insurance excluded; no Tabby payment through SmartSetupUAE,,12888,12888,AED,1,ancfz_payg_10v_pdf,true
ANCFZ,PAYG Packages,Pay As You Go - 2 Visas,1 Year,Secondary option; health insurance excluded; no Tabby payment through SmartSetupUAE,,17888,17888,AED,2,ancfz_payg_10v_pdf,true
ANCFZ,PAYG Packages,Pay As You Go - 3 Visas,1 Year,Secondary option; health insurance excluded; no Tabby payment through SmartSetupUAE,,22888,22888,AED,3,ancfz_payg_10v_pdf,true
ANCFZ,PAYG Packages,Pay As You Go - 4 Visas,1 Year,Secondary option; health insurance excluded; no Tabby payment through SmartSetupUAE,,27888,27888,AED,4,ancfz_payg_10v_pdf,true
ANCFZ,PAYG Packages,Pay As You Go - 5 Visas,1 Year,Secondary option; health insurance excluded; no Tabby payment through SmartSetupUAE,,32888,32888,AED,5,ancfz_payg_10v_pdf,true
ANCFZ,PAYG Packages,Pay As You Go - 6 Visas,1 Year,Secondary option; health insurance excluded; no Tabby payment through SmartSetupUAE,,37888,37888,AED,6,ancfz_payg_10v_pdf,true
ANCFZ,PAYG Packages,Pay As You Go - 7 Visas,1 Year,Secondary option; health insurance excluded; no Tabby payment through SmartSetupUAE,,42888,42888,AED,7,ancfz_payg_10v_pdf,true
ANCFZ,PAYG Packages,Pay As You Go - 8 Visas,1 Year,Secondary option; health insurance excluded; no Tabby payment through SmartSetupUAE,,47888,47888,AED,8,ancfz_payg_10v_pdf,true
ANCFZ,PAYG Packages,Pay As You Go - 9 Visas,1 Year,Secondary option; health insurance excluded; no Tabby payment through SmartSetupUAE,,52888,52888,AED,9,ancfz_payg_10v_pdf,true
ANCFZ,PAYG Packages,Pay As You Go - 10 Visas,1 Year,Secondary option; health insurance excluded; no Tabby payment through SmartSetupUAE,,57888,57888,AED,10,ancfz_payg_10v_pdf,true
ANCFZ,PAYG Packages,Pay As You Go Renewal - 0 Visas,1 Year,Secondary renewal option; health insurance excluded; no Tabby payment through SmartSetupUAE,,4888,4888,AED,0,ancfz_payg_10v_pdf,true
ANCFZ,PAYG Packages,Pay As You Go Renewal - 1 Visa,1 Year,Secondary renewal option; health insurance excluded; no Tabby payment through SmartSetupUAE,,10588,10588,AED,1,ancfz_payg_10v_pdf,true
ANCFZ,PAYG Packages,Pay As You Go Renewal - 2 Visas,1 Year,Secondary renewal option; health insurance excluded; no Tabby payment through SmartSetupUAE,,14588,14588,AED,2,ancfz_payg_10v_pdf,true
ANCFZ,PAYG Packages,Pay As You Go Renewal - 3 Visas,1 Year,Secondary renewal option; health insurance excluded; no Tabby payment through SmartSetupUAE,,18588,18588,AED,3,ancfz_payg_10v_pdf,true
ANCFZ,PAYG Packages,Pay As You Go Renewal - 4 Visas,1 Year,Secondary renewal option; health insurance excluded; no Tabby payment through SmartSetupUAE,,22588,22588,AED,4,ancfz_payg_10v_pdf,true
ANCFZ,PAYG Packages,Pay As You Go Renewal - 5 Visas,1 Year,Secondary renewal option; health insurance excluded; no Tabby payment through SmartSetupUAE,,26588,26588,AED,5,ancfz_payg_10v_pdf,true
ANCFZ,PAYG Packages,Pay As You Go Renewal - 6 Visas,1 Year,Secondary renewal option; health insurance excluded; no Tabby payment through SmartSetupUAE,,30588,30588,AED,6,ancfz_payg_10v_pdf,true
ANCFZ,PAYG Packages,Pay As You Go Renewal - 7 Visas,1 Year,Secondary renewal option; health insurance excluded; no Tabby payment through SmartSetupUAE,,34588,34588,AED,7,ancfz_payg_10v_pdf,true
ANCFZ,PAYG Packages,Pay As You Go Renewal - 8 Visas,1 Year,Secondary renewal option; health insurance excluded; no Tabby payment through SmartSetupUAE,,34088,34088,AED,8,ancfz_payg_10v_pdf,true
ANCFZ,PAYG Packages,Pay As You Go Renewal - 9 Visas,1 Year,Secondary renewal option; health insurance excluded; no Tabby payment through SmartSetupUAE,,38088,38088,AED,9,ancfz_payg_10v_pdf,true
ANCFZ,PAYG Packages,Pay As You Go Renewal - 10 Visas,1 Year,Secondary renewal option; health insurance excluded; no Tabby payment through SmartSetupUAE,,42088,42088,AED,10,ancfz_payg_10v_pdf,true
