freezone,activity_code,activity_name,industry_group,keywords,approval_required,approval_authority,is_active,source
SHAMS,9521,Repair of consumer electronics,Service and Consultancy,"repair, of, consumer, electronics",false,,true,uploaded_shams_activity_list
SHAMS,9521.01,Repair and maintenance of consumer electronics:,Service and Consultancy,"repair, and, maintenance, of, consumer, electronics",false,,true,uploaded_shams_activity_list
SHAMS,9522,Repair of household appliances and home and garden equipment,Service and Consultancy,"repair, of, household, appliances, and, home, and, garden",false,,true,uploaded_shams_activity_list
SHAMS,9522.01,Repair and servicing of household appliances,Service and Consultancy,"repair, and, servicing, of, household, appliances",false,,true,uploaded_shams_activity_list
SHAMS,9522.02,Repair and servicing of home and garden equipment,Service and Consultancy,"repair, and, servicing, of, home, and, garden, equipment",false,,true,uploaded_shams_activity_list
SHAMS,9523,Repair of footwear and leather goods,Service and Consultancy,"repair, of, footwear, and, leather, goods",false,,true,uploaded_shams_activity_list
SHAMS,9523.01,Repair and maintenance of footwear:,Service and Consultancy,"repair, and, maintenance, of, footwear",false,,true,uploaded_shams_activity_list
SHAMS,9523.02,Fitting of heels,Service and Consultancy,"fitting, of, heels",false,,true,uploaded_shams_activity_list
SHAMS,9523.03,Repair and maintenance of leather goods:,Service and Consultancy,"repair, and, maintenance, of, leather, goods",false,,true,uploaded_shams_activity_list
SHAMS,9524,Repair of furniture and home furnishings,Service and Consultancy,"repair, of, furniture, and, home, furnishings",false,,true,uploaded_shams_activity_list
SHAMS,9524.01,"Reupholstering, refinishing, repairing and restoring of furniture and home furnishings including office furniture",Service and Consultancy,"reupholstering, refinishing, repairing, and, restoring, of, furniture, and",false,,true,uploaded_shams_activity_list
SHAMS,9524.02,Assembly of self-standing furniture,Service and Consultancy,"assembly, of, self, standing, furniture",false,,true,uploaded_shams_activity_list
SHAMS,9529,Repair of other personal and household goods,Service and Consultancy,"repair, of, other, personal, and, household, goods",false,,true,uploaded_shams_activity_list
SHAMS,9529.01,Repair of bicycles,Service and Consultancy,"repair, of, bicycles",false,,true,uploaded_shams_activity_list
SHAMS,9529.02,Repair and alteration of clothing,Service and Consultancy,"repair, and, alteration, of, clothing",false,,true,uploaded_shams_activity_list
SHAMS,9529.03,Repair and alteration of jewellery,Service and Consultancy,"repair, and, alteration, of, jewellery",false,,true,uploaded_shams_activity_list
SHAMS,9529.04,"Repair of watches, clocks and their parts such as watchcases and housings of all materials; movements, chronometers, etc.",Service and Consultancy,"repair, of, watches, clocks, and, their, parts, such",false,,true,uploaded_shams_activity_list
SHAMS,9529.05,Repair of sporting goods (except sporting guns),Service and Consultancy,"repair, of, sporting, goods, except, sporting, guns",false,,true,uploaded_shams_activity_list
SHAMS,9529.06,Repair of books,Service and Consultancy,"repair, of, books",false,,true,uploaded_shams_activity_list
SHAMS,9529.07,Repair of musical instruments,Service and Consultancy,"repair, of, musical, instruments",false,,true,uploaded_shams_activity_list
SHAMS,9529.08,Repair of toys and similar articles,Service and Consultancy,"repair, of, toys, and, similar, articles",false,,true,uploaded_shams_activity_list
SHAMS,9529.09,Repair of other personal and household goods,Service and Consultancy,"repair, of, other, personal, and, household, goods",false,,true,uploaded_shams_activity_list
SHAMS,9529.1,Piano-tuning,Service and Consultancy,"piano, tuning",false,,true,uploaded_shams_activity_list
SHAMS,9609,Other personal service activities n.e.c.,Service and Consultancy,"other, personal, service, activities",true,Sharjah Municipality,true,uploaded_shams_activity_list
SHAMS,9609.02,"Pet care services such as boarding, grooming, sitting and training pets",Service and Consultancy,"pet, care, services, such, as, boarding, grooming, sitting",false,,true,uploaded_shams_activity_list
SHAMS,9609.03,not found,Service and Consultancy,"not, found",false,,true,uploaded_shams_activity_list
SHAMS,9609.04,not found,Service and Consultancy,"not, found",false,,true,uploaded_shams_activity_list
SHAMS,9609.05,not found,Service and Consultancy,"not, found",false,,true,uploaded_shams_activity_list
SHAMS,9609.06,"Pet care services such as boarding, grooming, sitting and training pets",Service and Consultancy,"pet, care, services, such, as, boarding, grooming, sitting",true,Mucipality,true,uploaded_shams_activity_list
SHAMS,9609.11,Lifestyle consultancy,Service and Consultancy,"lifestyle, consultancy",false,,true,uploaded_shams_activity_list
SHAMS,9609.12,Fashion design consultancy,Service and Consultancy,"fashion, design, consultancy",false,,true,uploaded_shams_activity_list
SHAMS,9609.13,Lifestyle development consultancy,Service and Consultancy,"lifestyle, development, consultancy",false,,true,uploaded_shams_activity_list
SHAMS,9609.27,Pet relocation service,Service and Consultancy,"pet, relocation, service",true,UAE Ministry of Climate Change & Environment (MOCCAE),true,uploaded_shams_activity_list
SHAMS,9609.92,Corporate social responsibilitity intiatives preparation,Service and Consultancy,"corporate, social, responsibilitity, intiatives, preparation",false,,true,uploaded_shams_activity_list
